player_name,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK
Stefanie Dolson,Shot Type Detail,Driving Reverse Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Fadeaway Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Aaliyah Edwards,Shot Type Detail,Alley Oop Layup shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Cutting Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Cutting Layup Shot,5,11,0.455,0,0,0.0,0.455,2,1.0,0.0,0.0,0.0,1.0,0.0,1,1,5,1,2,1,5,32,1,4,1,1,1,4
Stefanie Dolson,Shot Type Detail,Floating Jump shot,1,2,0.5,0,0,0.0,0.5,0,1.0,0.0,0.0,0.0,1.0,0.0,3,3,3,2,5,2,3,1,1,1,2,1,1,1
Stefanie Dolson,Shot Type Detail,Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Aaliyah Edwards,Shot Type Detail,Driving Finger Roll Layup Shot,2,2,1.0,0,0,0.0,1.0,0,0.5,0.5,0.0,0.0,0.5,0.5,4,6,1,1,2,1,1,1,7,2,1,1,7,2
Aaliyah Edwards,Shot Type Detail,Driving Floating Bank Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
